#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,,,,,,,,,,,,,,,,,,,,
,World,379458555,672399,5693849,2100,299451191,579907,74313515,92903,48681,731,,,,All,"
,,,,,,,,,,,,,,,,,,,,,
55,Tunisia,909813,,26288,,779096,,104429,166,75728,2188,4035546,335899,12014156,Africa,13,457,3,,,"8,692"
,,,,,,,,,,,,,,,,,,,,,
56,S. Korea,864042,18333,6772,17,629487,4729,227783,272,16830,132,15804065,307838,51338979,Asia,59,"7,581",3,357,0.3,"4,437"
,,,,,,,,,,,,,,,,,,,,,
57,Bolivia,855705,3425,20951,32,695755,6496,138999,220,71759,1757,2653186,222494,11924736,South America,14,569,4,287,3,"11,656"
,,,,,,,,,,,,,,,,,,,,,
58,UAE,847142,2084,2248,5,778163,1067,66731,,84047,223,125681400,12469224,10079328,Asia,12,"4,484",0,207,0.5,"6,621"
,,,,,,,,,,,,,,,,,,,,,
59,Norway,781049,,1440,,88952,,690657,51,142312,262,9852076,1795112,5488278,Europe,7,"3,811",1,,,"125,842"
,,,,,,,,,,,,,,,,,,,,,
60,Belarus,744871,1918,6067,15,734885,1359,3919,,78869,642,11731354,1242148,9444406,Europe,13,"1,557",1,203,2,415
,,,,,,,,,,,,,,,,,,,,,
61,Ecuador,732038,,34533,,N/A,N/A,N/A,759,40519,1911,2470170,136726,18066524,South America,25,523,7,,,"14,038"
,,,,,,,,,,,,,,,,,,,,,
62,Slovenia,722648,11810,5876,11,541208,8684,175564,132,347529,2826,2491013,1197954,2079390,Europe,3,354,1,"5,680",5,"84,431"
,,,,,,,,,,,,,,,,,,,,,
63,Panama,700274,,7732,,631135,,61407,35,158357,1748,5196507,1175116,4422124,North America,6,572,1,,,"13,886"
,,,,,,,,,,,,,,,,,,,,,
64,Costa Rica,694865,,7575,,574517,,112773,131,134464,1466,3324431,643313,5167675,North America,7,682,2,,,"21,823"
,,,,,,,,,,,,,,,,,,,,,
65,Guatemala,690290,,16385,,635494,,38411,5,37436,889,3589175,194648,18439273,North America,27,"1,125",5,,,"2,083"
,,,,,,,,,,,,,,,,,,,,,
66,Lithuania,688685,8662,7898,12,592587,14329,88200,79,258691,2967,7264842,2728891,2662196,Europe,4,337,0,"3,254",5,"33,131"
,,,,,,,,,,,,,,,,,,,,,
67,Saudi Arabia,687264,,8940,,640353,,37971,967,19267,251,37872209,1061713,35670839,Asia,52,"3,990",1,,,"1,064"
,,,,,,,,,,,,,,,,,,,,,
68,Uruguay,668425,,6479,,594827,,67119,145,191374,1855,5222452,1495217,3492771,South America,5,539,1,,,"19,217"
,,,,,,,,,,,,,,,,,,,,,
69,Azerbaijan,658470,,8734,,625023,,24713,,64031,849,6156388,598656,10283690,Asia,16,"1,177",2,,,"2,403"
,,,,,,,,,,,,,,,,,,,,,
70,Sri Lanka,611185,,15441,,578432,,17312,,28354,716,6064083,281327,21555255,Asia,35,"1,396",4,,,803
,,,,,,,,,,,,,,,,,,,,,
71,Paraguay,583662,,17321,,498886,,67455,187,80272,2382,2354768,323855,7271053,South America,12,420,3,,,"9,277"
,,,,,,,,,,,,,,,,,,,,,
